Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Shubman Gill (GT),2023-2023,17,17,2,890,129,59.33,564,157.8,3,4,1,85,33
F du Plessis (RCB),2023-2023,14,14,1,730,84,56.15,475,153.68,-,8,-,60,36
DP Conway (CSK),2023-2023,16,15,2,672,92*,51.69,481,139.7,-,6,1,77,18
V Kohli (RCB),2023-2023,14,14,2,639,101*,53.25,457,139.82,2,6,1,65,16
YBK Jaiswal (RR),2023-2023,14,14,1,625,124,48.07,382,163.61,1,5,1,82,26
SA Yadav (MI),2023-2023,16,16,2,605,103*,43.21,334,181.13,1,5,1,65,28
RD Gaikwad (CSK),2023-2023,16,15,1,590,92,42.14,400,147.5,-,4,-,46,30
DA Warner (DC),2023-2023,14,14,-,516,86,36.85,392,131.63,-,6,2,69,10
RK Singh (KKR),2023-2023,14,14,6,474,67*,59.25,317,149.52,-,4,-,31,29
Ishan Kishan (MI),2023-2023,16,15,-,454,75,30.26,318,142.76,-,3,-,54,18
C Green (MI),2023-2023,16,16,7,452,100*,50.22,282,160.28,1,2,-,40,22
H Klaasen (SRH),2023-2023,12,11,2,448,104,49.77,253,177.07,1,2,-,32,25
S Dube (CSK),2023-2023,16,14,3,418,52,38,264,158.33,-,3,-,12,35
N Rana (KKR),2023-2023,14,14,1,413,75,31.76,293,140.95,-,3,-,39,20
MP Stoinis (LSG),2023-2023,15,15,2,408,89*,31.38,272,150,-,3,2,28,27
VR Iyer (KKR),2023-2023,14,14,-,404,104,28.85,277,145.84,1,2,1,32,21
GJ Maxwell (RCB),2023-2023,14,14,2,400,77,33.33,218,183.48,-,5,2,29,31
JC Buttler (RR),2023-2023,14,14,-,392,95,28,282,139,-,4,5,42,14
KR Mayers (LSG),2023-2023,13,13,-,379,73,29.15,263,144.1,-,4,2,38,22
S Dhawan (PBKS),2023-2023,11,11,2,373,99*,41.44,261,142.91,-,3,1,49,12
WP Saha (GT),2023-2023,17,17,1,371,81,23.18,287,129.26,-,2,2,47,8
B Sai Sudharsan (GT),2023-2023,8,8,1,362,96,51.71,256,141.4,-,3,-,33,12
SV Samson (RR),2023-2023,14,14,2,362,66*,30.16,236,153.38,-,3,2,25,24
Prabhsimran Singh (PBKS),2023-2023,14,14,-,358,103,25.57,238,150.42,1,1,2,38,19
N Pooran (LSG),2023-2023,15,15,3,358,62,29.83,207,172.94,-,2,2,26,26
HH Pandya (GT),2023-2023,16,15,4,346,66,31.45,253,136.75,-,2,-,26,15
NT Tilak Varma (MI),2023-2023,11,11,3,343,84*,42.87,209,164.11,-,1,-,26,23
RG Sharma (MI),2023-2023,16,16,-,332,65,20.75,250,132.8,-,2,2,35,17
AM Rahane (CSK),2023-2023,14,11,1,326,71*,32.6,189,172.48,-,2,-,24,16
JM Sharma (PBKS),2023-2023,14,14,1,309,49*,23.76,198,156.06,-,-,1,22,21
V Shankar (GT),2023-2023,14,10,2,301,63*,37.62,188,160.1,-,3,-,27,15
SO Hetmyer (RR),2023-2023,14,13,5,299,56*,37.37,197,151.77,-,1,-,12,23
JJ Roy (KKR),2023-2023,8,8,-,285,61,35.62,188,151.59,-,2,-,36,12
AR Patel (DC),2023-2023,14,13,3,283,54,28.3,203,139.4,-,1,-,21,15
LS Livingstone (PBKS),2023-2023,9,9,1,279,94,34.87,171,163.15,-,2,-,20,19
SM Curran (PBKS),2023-2023,14,13,3,276,55,27.6,203,135.96,-,1,-,20,13
KL Rahul (LSG),2023-2023,9,9,1,274,74,34.25,242,113.22,-,2,-,28,4
RA Tripathi (SRH),2023-2023,13,13,1,273,74*,22.75,213,128.16,-,1,1,29,10
MA Agarwal (SRH),2023-2023,10,10,-,270,83,27,210,128.57,-,1,-,29,6
D Padikkal (RR),2023-2023,11,11,1,261,52,26.1,200,130.5,-,2,-,31,6
DA Miller (GT),2023-2023,16,13,5,259,46,32.37,178,145.5,-,-,1,18,13
AK Markram (SRH),2023-2023,13,13,2,248,50,22.54,197,125.88,-,1,1,18,8
N Wadhera (MI),2023-2023,14,10,1,241,64,26.77,166,145.18,-,2,1,23,12
A Badoni (LSG),2023-2023,15,12,2,238,59*,23.8,172,138.37,-,1,-,13,12
TH David (MI),2023-2023,16,15,6,231,45*,25.66,146,158.21,-,-,2,12,15
Rahmanullah Gurbaz (KKR),2023-2023,11,11,-,227,81,20.63,170,133.52,-,2,2,17,15
AD Russell (KKR),2023-2023,14,14,3,227,42,20.63,156,145.51,-,-,1,13,18
Abhishek Sharma (SRH),2023-2023,11,11,-,226,67,20.54,157,143.94,-,2,1,28,6
PD Salt (DC),2023-2023,9,9,1,218,87,27.25,133,163.9,-,2,2,24,10
RR Rossouw (DC),2023-2023,9,9,2,209,82*,29.85,141,148.22,-,1,2,17,11
HC Brook (SRH),2023-2023,11,11,2,190,100*,21.11,154,123.37,1,-,3,23,4
RA Jadeja (CSK),2023-2023,16,12,4,190,25*,23.75,133,142.85,-,-,-,11,9
KH Pandya (LSG),2023-2023,15,14,4,188,49*,18.8,165,113.93,-,-,3,15,6
A Taide (PBKS),2023-2023,7,7,-,186,66,26.57,129,144.18,-,2,1,20,6
Abdul Samad (SRH),2023-2023,9,8,4,169,37*,42.25,128,132.03,-,-,-,10,11
MK Pandey (DC),2023-2023,10,9,-,160,50,17.77,146,109.58,-,1,2,15,3
AT Rayudu (CSK),2023-2023,16,12,2,158,27*,15.8,113,139.82,-,-,1,10,9
